,title,num_comments,link,text,comments,toxicity,fem,masc,eng_title,eng_comments
0,Избран новый председатель федерации биатлона Узбекистана,5,https://uznews.uz/posts/54265,"В Центральном совете организации содействия обороне «Ватанпарвар» состоялась II внеочередная конференция, во время которой был рассмотрен вопрос избрания председателя федерации биатлона и его заместителя. Об этом сообщает УзА. По итогам конференции новым председателем Федерации биатлона Узбекистана избран заместитель министра обороны Кодиржон Турсунов . Заместителем председателя стал Алишер Абдусаматов, являющийся заместителем Центрального совета организации содействия обороне «Ватанпарвар». Напомним, что Федерацию биатлона Узбекистана Минюст зарегистрировал в начале текущего года. Куратором новой спортивной организации стало Министерство обороны. ","['Слава Ухани!', 'Похоже я не туда написал...ну пусть остаётся.', 'Это очень хорошо', 'Поддерживаю иниацитивы', 'Прекрасно, и вовремя.']","[0.4604861, 0.5395138]",0,1,Elected new president of the Biathlon Federation of Uzbekistan,"'Thank you, Wuhani!' 'I guess I wrote the wrong one... but let it stay.', 'It's very good,' 'Supporting initiatives,' 'Great, and in time.']"
1,Шавкат Мирзиёев ознакомился с проектом строительства в Ташкенте Олимпийского городка,19,https://uznews.uz/posts/54034," 7 марта президент ознакомился с презентацией проекта строительства Олимпийского городка, который будет возведён в преддверии проведения в Ташкенте молодежных Азиатских игр - 2025. Об этом сообщает пресс-служба президента. Сообщается, что игры соберут со всего континента немало спортсменов, тренеров, болельщиков и журналистов. Для проведения этого престижного спортивного мероприятия на высоком уровне в Яшнабадском районе столицы планируется построить Олимпийский городок. Проект объекта разработан британской инжиниринговой компанией Arup. Согласно проекту, в центре городка будет построен Олимпийский стадион, вокруг него - крытые спортивные комплексы, дворец водных видов спорта, тренировочные площадки, гребной канал. Все условия будут соответствовать требованиям Олимпийского совета Азии и международных спортивных федераций. Также будут возведены административное здание, общежитие, музей и хозяйственные объекты. Помимо соревнований городок станет учебно-тренировочной базой для спортсменов. Здесь начнут свою деятельность Институт высшего спортивного мастерства, спортивные федерации и другие учреждения в области спорта. Запланировано создание зеленой прогулочной зоны вдоль улицы Новый Узбекистан, ведущей к Олимпийскому городку. Она будет располагать условиями для отдыха и занятия спортом. Шавкат Мирзиёев поинтересовался в деталях стоимостью проекта, условиями, которые будут созданы для посетителей. Ответственным лицам поручено рассчитать объем работ и финансовых ресурсов по годам, составить четкий план, объявить тендер на строительство. В рамках презентации проектов строительства и озеленения столицы, отмечалось, что вдоль дорог 21 улицы Ташкента, включая Малую кольцевую дорогу, Мустакиллик, Навои, Ислама Каримова, Афросиаб, Шахрисабз, Ойбека, Бабура планируется посадка саженцев декоративных деревьев, таких как каштан, сирень, ясень, тюльпановое дерево, клен, липа.  Деревья будут выращиваться методом репикажа для обеспечения прочности корней и прямого роста стволов. Глава государства подчеркнул важность посадки наряду с декоративными и плодовых деревьев, таких как инжир, гранат и хурма, а также создания на улицах навесов из вьющихся растений.","['Репикаж - это банальная пересадка. Зачем использовать иностранное слово?\r\nhttps://fr.wikipedia.org/wiki/Repiquage_(botanique)', 'Спорт очень полезный нашего здоровье', 'Пусть их работа продвигается', 'ok', 'Вот это респект Для  Яшнабдского района', 'Суета и безумие! Народ нищает и забыт .  Постройте дома , создайте многодетным и малоимущим условия и комфорт.  Социалка разграбленно и мертва', 'Развитие идет во всех сферах. Где-то с опозданием, где-то с проблемами, НО ИДЕТ. А вы лично, что сделали чтобы ускорить процесс развития кроме как сидеть на диване высказывать недовольство и писульки свои строчить. Подняли бы свою пятую точку с дивана или с кресла и предприняли бы хоть какие-нибудь полезные практические действия. А сидеть и вякать да и ещё с ложного аккаунта любой может', 'В отличие от животных, человек способен учиться и развиваться... Жить нормально, комфортно... это отличительные особенности нормального человека. Твой коммент подходить к скотам, которым не чего не интересно кроме еды и т.г.', 'это очередная отмывка баксов. народ узбекистана на этом нечего не заработает основную часть денег заберут фирмы.которые уходят от налогов . обычная схема', 'Докажи тогда', 'вот так мы можем жить сегодня', 'при Администрации президента (ЦЭИР) по оценке влияния вступления Узбекистана в Евразийский экономический союз (ЕАЭС) указано, что в результате вступления в союз:\r\n\r\n— узбекские производители получат равноправный доступ к рынку стран ЕАЭС;\r\n— будут созданы равные условия для трудовых мигрантов;\r\n— будет получен доступ к российским инвестиционным ресурсам и технологиям;\r\n— Узбекистан станет частью единого таможенного пространства, где действует единый таможенный тариф (ЕТТ) ЕАЭС;\r\n— улучшится логистика доставки грузов и сократятся сроки поставки сельскохозяйственной продукции из-за устранения излишних требований и барьеров на границах, что будет способствовать увеличению экспорта плодоовощной и переработанной сельхозпродукции Узбекистан;\r\n— произойдет модернизация отраслей Узбекистана, что позволит эффективно реализовать незадействованный экспортный потенциал переработанной продукции Узбекистана на рынках стран ЕАЭС;\r\n— может произойти увеличение экспорта узбекской продукции за счет снижения транспортных издержек и упрощения транзита экспортных товаров по территории Казахстана и РФ, реализации незадействованного экспортного потенциала отрасли и расширения ассортимента', 'в']","[0.89191186, 0.10808822]",0,0,The Mirziyoev Shavkat has studied the Tashkent construction project of the Olympic,"[""Replication is a banal transplant."" Why use the foreign word? \r\nhttps://fr.wiquipedia.org/wiki/Repicuage_(botanyque)', 'Sport is very useful to our health', 'Let their work progress', 'ok', 'This is development for the Jashnabd district', 'Safe and madness! People are poor and forgotten. Build houses, create many children and poor conditions and comfort. 'Social is looted and dead', 'Development is going in all spheres. Somewhere late, somewhere with problems, but IDETE. 'And you yourself have done what you have done to speed up the process of development except sit on the couch to express resentment and writing your building. 'Call your fifth point from the couch or from the chair and take any useful practical action.'"
2,Тхэквондистки из Узбекистана завоевали на чемпионате Азии золотую и бронзовые медали,5,https://uznews.uz/posts/53991,"В эти дни в Тегеране проходит серия международных турниров по тхэквондо. С 4 по 5 марта здесь проводится чемпионат Азии среди клубов. Об этом сообщает НОК. В первый день чемпионата во время соревнований среди тхэквондисток представительницы сборной Узбекистана завоевали три медали. В частности, золотой медали удостоилась Феруза Садыкова, бронзу завоевали Чарос Каюмова и Светлана Осипова. Сообщается, что сегодня, 5 марта в Тегеране в рамках чемпионата Азии пройдут соревнования среди тхэквондистов. ","['Женщина создана рожать и греть семейный очаг. Она не должна бить человека, ни руками, ни ногами. Лучшая из таких мордобойцев, самое крупное оно, ни баба, ни мужик.', 'Что такое хорошо и что такое плохо ?', 'Рустам, при всём уважении, давно пора осознать и принять тот факт, что каждый в праве распоряжаться своей жизнью и что никто ничего никому не должен. В обязанности гражданина входит лишь соблюдение законов и норм этикета.']","[0.6519997, 0.3480003]",0,0,Taekwondists from Uzbekistan won gold and bronze medals at the Asian Championships,"What's so good and what's wrong? 'Rustam, with all due respect, it's time to understand and accept that everyone has the right to control their lives, and that no one owes anything to anyone except observance of the laws and rules of etiquette.'"
3,Оксана Чусовитина завоевала золотую медаль этапа Кубка мира,8,https://uznews.uz/posts/53987,"Оксана Чусовитина приняла участие в очередном этапе Кубка мира по спортивной гимнастике, который проходит в столице Катара. Об этом сообщает пресс-служба НОК. В опорном прыжке 46-летняя Оксана Чусовитина набрала 13 433 очка, благодаря чему ей удалось обойти спортсменов из Венгрии и России, претендовавших на победу. Это без сомнения, является очередным рекордом легендарной спортсменки - участницы 8 Олимпиад. По итогам выступления спортсменок в опорном прыжке: Первое место заняла Оксана Чусовитина (Узбекистан) – 13.433 Второе - Мария Баския (Венгрия) – 13.150 Третье - Виктория Листунова (Россия) – 13.133 ","['Оксана - красава! Ты молодец!', 'Бабка отжигает) Респект ей))', '🎉🎉🎉👏👏👏', 'Молодец']","[0.37079102, 0.629209]",0,0,Oksana Chusovitina won the gold medal of the World Cup,(Oxana is beautiful! You're good!
4,Определены соперники сборной Узбекистана за выход на Кубок Азии-2023,3,https://uznews.uz/posts/53765,"Сегодня, 24 февраля, в штаб-квартире АФК в Куала-Лумпуре состоялась жеребьевка отборочного цикла кубка Азии-2023. По итогам жеребьевки национальная команда попала в Группу C вместе со сборными Таиланда, Мальдив и Шри-Ланки. Так как Узбекистан был утвержден принимающей страной, матчи квалификации в этой группе состоятся 8, 11 и 14 июня в Намангане. Первую игру сборная Узбекистана проведет против сборной Шри-Ланки. Напомним, в финальную часть Кубка Азии-2023 выйдут 11 команд: 6 победителей групп и 5 команд, занявших вторые места с лучшими результатами. ","['Узнйюс не допустил конструктивной критики раскрутки ветряной станции, по гейропейским проектам, своим, намного более эффективным пути нет. Главное затратить побольше народных средств, в пользу чужих, а там народ еще заработает, чтобы потерять...', '...не исключено и то, что мои друзья и партнеры по гелиотехнике, давно ушли в другой мир, но я уверен, что их конструкции работают, для тех кто рядом с ними. У меня на память хранится их ручная фотоэлектрическая миниатюрность.']","[0.9971236, 0.002876417]",0,1,The competitions of Uzbekistan for the Asian Cup 2023 were identified,"It's not possible that my friends and solar partners have gone to another world, but I'm sure that their designs are working for those around them."
5,Глава «Узавтосаноат» возглавил Федерацию гимнастики Узбекистана,3,https://uznews.uz/posts/53703,"Во вторник в Федерации гимнастики Узбекистана состоялась отчётно-выборная конференция, в ходе которой был избран новый руководитель. В мероприятии приняли участие Генеральный секретарь НОК Ойбек Касимов, официальные лица Федерации, тренеры и представители спортивной общественности, сообщает пресс-служба ФГУ. На пост председателя Федерации гимнастики была выдвинута кандидатура руководителя правления АО «Узавтосаноат» Шавката Умрзакова. Делегаты конференции единогласно одобрили его кандидатуру. Отмечается, что АО «Узавтосаноат» на протяжении многих лет является главным спонсором Федерации и оказывает поддержку развитию данной дисциплины.  «Федерация Гимнастики Узбекистана достигла немалого авторитета на международной арене. Этому способствовали успехи наших спортсменов на крупнейших турнирах мирового уровня. Также члены ФГУ принимают активное участие в международных семинарах и конференциях, проводимых Международной федерацией гимнастики и Азиатским гимнастическим союзом. На сегодняшний день перед нами стоит целый ряд нерешённых проблем. К большому сожалению, недостаточное внимание к проблемам, которые испытывала Федерация в последнее время, и практически полное отсутствие финансирования вынудило ряд перспективных, высокопрофессиональных спортсменов и тренеров оставить любимое дело. Некоторые из них, получив выгодные предложения, уехали работать за рубеж. Впредь мы не должны этого допустить!» - отметил новоиспеченный председатель Федерации. Также был утвержден ряд других должностных лиц и старших тренеров. На своих постах остались Руслан Мустаев – первый вице-президент ФГУ, Гёзал Филиппова – генеральный секретарь и Галина Израильбекова – директор ФГУ. ","['заплатишь 85 % и через 6 месяцев будешь кандидатом мастера спорта', 'Теперь эта структура тоже будет с  БОЛЬШИМИ ПРОБЛЕМАМИ!', 'Для создания очередей с предоплатой 85 процентов?']","[0.9920704, 0.00792965]",0,1,The head of Uzmatsanoat headed the Federation of Gymnastics of Uzbekistan,"You'll pay 85% and in six months you'll be a sportsman's candidate, 'Now this structure will be with long-term problems too!', 'To create rounds with an 85% advance payment?']"
6,В Узбекистане появилась новая спортивная Федерация тентпеггинга,4,https://uznews.uz/posts/53614,"Министерство юстиции Узбекистана зарегистрировало Федерацию тентпеггинга, целью которой является развитие и популяризация данного вида спорта, сообщили в пресс-службе Минюста. Тентпеггинг – это вид конного спорта, известный с глубокой древности и являющийся одной из десяти дисциплин, признаваемых Международной федерацией конного спорта. Он включает в себя комплекс различных соревнований с использованием различного вида спортивного оружия. Наиболее распространенными и массовыми, в том числе на международных турнирах, являются соревнования, включающие упражнения, связанные с поражением мишеней в виде установленных на земле колышков – пегов. Всадник на максимальной скорости должен насадить на острие копья или меча (сабли, шашки, шпаги) пег, наполовину врытый в землю, за что спортсмену начисляются очки. Задача в результате нескольких проездок поднять колышек максимальное количество раз. ","['Ждем появления федерации петтинга', 'Петтинг, это разновидность кунилингуса или отдельный вид спорта?', 'Ишаки относятся к отряду коней?']","[0.65252054, 0.34747943]",0,0,A new Tentpegging Sports Federation has emerged in Uzbekistan.,"['Awaiting the Federation of Petting', 'Petting, is this a kind of kunilingus or a separate sport?', 'Ishaki belong to a horse squad?']"
7,Председатель НОК Узбекистана Рустам Шаабдурахманов подал в отставку,2,https://uznews.uz/posts/53574,"Сегодня, 17 февраля, состоялось внеочередное заседание Исполкома Национального Олимпийского комитета Узбекистана, сообщает  пресс-служба НОК. Основным вопросом повестки дня стало рассмотрение заявления об уходе в отставку по собственному желанию Рустама Шаабдурахманова, занимающего пост председателя НОК с мая 2019 года. Заявление Р. Шаабдурахманова было одобрено членами Исполкома. Новый глава Национального Олимпийского комитета Узбекистана будет избран на заседании внеочередной Генеральной Ассамблеи НОК. ",['Вид у него действительно не совсем здоровый.'],"[0.04888449, 0.95111555]",0,1,"Rustam Shaabdurakhmanov, Chairman of the NRC of Uzbekistan, resigned",'The sight is indeed not healthy.'
8,Узбекский спортсмен завершил выступление на зимних ОИ в Пекине,4,https://uznews.uz/posts/53539,"Единственный участник из Узбекистана выбыл из списка участников зимних Олимпийских играх в Пекине. Комилжон Тухтаев при заезде в слаломе совершил техническую ошибку. Из-за чего его результат не был засчитан. Об этом сообщает пресс-служба НОК. Во время прохождения трассы спортсмены обязаны проехать через все ворота. Тухтаев не сумел проехать через последние ворота. Таким образом, единственный спортсмен из Узбекистана завершил своё выступление на зимних Олимпийских играх в Пекине.  Напомним , что первое выступление Комилжона Тухтаева состоялось 13 февраля, наш спортсмен, стартовавший под 60-м номером, показал 35-й результат. Помимо него в этой программе участвовали 89 атлетов.","['Не удивительно что проскочил, ведь на родине тоже проскакивают и на красный и на пешехода и в очередях и вообще любят проскачить, привычка, тут уж ни чего не поделаешь.', 'Неудивительно, фамилия ему дана верно! Тормоз!', 'Кто-то тут писал, что китайцы занижают оценки выступления уйгурам. Вот и на этот раз организаторы подставили спортсмена с воротами, что он мимо проскочил.']","[0.88020056, 0.11979946]",0,1,The Uzbek athlete completed his performance at the Winter OI in Beijing,"'It's not surprising that you've gotten past, because in your home country, you've also been poked on red and pedestrian, and you've got a habit, you can't do anything about it.' 'Unsurprisingly, he's got a name given to him! Tormosis!' 'Someone here wrote that the Chinese are underestimating the performance of the Uighurs.' And this time, the organizers set up an athlete with the gates that he passed by.'"""
9,Скончался первый тренер сборной Узбекистана по футболу,3,https://uznews.uz/posts/53504," Утром 15 февраля в возрасте 73 лет скончался доктор педагогических наук, профессор и бывший главный тренер сборной Узбекистана по футболу Рустам Акрамов, сообщает пресс-служба Национального олимпийского комитета.  Акрамов Рустам Акрамович родился 11 августа 1948 года в Ташкентской области. В 1970 году он окончил Узбекский государственный институт физической культуры по специальности «футбольный тренер». Также он учился в аспирантуре в Московском институте физической культуры. За свою карьеру Рустам Акрамов внес весомый вклад в развитие узбекского и советского футбола. В 1967—1973 годах играл в составе ташкентского «Политотдела» и «Пахтакора». В 1974 году он начал тренерскую деятельность и тренировал молодёжную команду московского «ЦСКА». В период с 1990 по 1992 год он тренировал алжирский клуб USM и национальную сборную Алжира. Рустам Акрамов – первый тренер сборной Узбекистана по футболу, которая была основана после обретения независимости. В 1992-1994 годы команда выиграла с ним чемпионат Центральной Азии и Азиатские игры 1994 года в Хиросиме. С 1995 по 1997 год Рустам Акрамов возглавлял сборную Индии. За 2 года своей деятельности в этой стране вместе со сборной он сформировал систему развития детского футбола. Позже он работал техническим директором АФК и инструктором ФИФА. За большой вклад в развитие узбекского футбола был награжден медалью «Шухрат» и почетным званием «Заслуженный тренер Республики Узбекистан».","['Получается в Пахтакоре он выступал в одном составе с Красницким, Абдураимовым, Бекташевым, Пшеничным, Исаковым, Ибрагимовым, Доценко....честно говоря я его не помню, но это ничего не меняет. Уходит эпоха славных Советских спортсменов. Царствия ему Небесного....', 'Вратарь Пшеничников...извиняюсь.', 'Замечательный был человек!Интеллигентный, эрудированный! Аллох рахматига олган булсин. Инна лиллахи ва инна иллахи роджиун']","[0.20660943, 0.7933906]",0,1,The first football coach of Uzbekistan passed away.,"He was in the same class as Krasnitsky, Abduraimov, Bektashev, Wheat, Isakov, Ibrahimov, Doctor, I don't really remember him, but that doesn't change anything. The era of the glorious Soviet athletes is passing. The kingdom of Heaven."
