title,num_comments,link,text,comments
Назначен ректор Института национального эстрадного искусства им. Б.Закирова,0,https://uznews.uz/posts/54606,"Согласно постановлению правительства, Мансуров Аваз Максудович назначен ректором Института национального эстрадного искусства имени Батыра Закирова при Государственной консерватории Узбекистана. До назначения он занимал должность первого проректора по учебным делам Государственной консерватории. Аваз Мансуров окончил Ташкентскую консерваторию по классу композиции профессора Б.И.Зейдмана (1982г.), ассистентуру-стажировку под руководством профессора Ф.М.Янов-Яновского (1986г.). Также он является лауреатом премии Союза молодежи Узбекистана (1986) и лауреатом Республиканского конкурса «Узбекистон – ватаним» (1998-1999). Напомним, данный Институт был создан указом президента в октябре 2021 года.  Основными задачами института определены: • подготовка высококвалифицированных специалистов и научно-педагогических кадров; • создание «Золотого фонда» образцов современного исполнения национальной эстрады, их перенос на ноты и широкое внедрение в практику; • проведение фундаментальных, практических и творческих исследований в области национальной эстрады. ",[]
Назначен новый посол Узбекистана в ОАЭ,6,https://uznews.uz/posts/54602," Абдулазиз Аккулов назначен Чрезвычайным и Полномочным послом Узбекистана в Объединенных Арабских Эмиратах, сообщает Telegram-канал «Нигох», близкий к Администрации президента. До назначения Абдулазиз Аккулов занимал должность заместителя министра туризма и спорта. На этом посту он сменил Бахтиера Ибрагимова, который возглавлял дипломатическую миссию Узбекистана в ОАЭ с 2019 года. В феврале текущего года он был назначен директором Департамента экономической дипломатии.","['Покайфу устраиваться на хорошые места по кумовству по  блату', 'Что-то он грустный с этим назначением.', 'У него по жизни печень и почки, не в форме. Чует, свой приговор.', 'Или с глубокого бодуна)']"
Назначен директор Агентства по кадастру,1,https://uznews.uz/posts/54524," Фаррух Пулатов назначен директором Агентства по кадастру при ГНК. Об этом сообщает Telegram - канал «Нигох». До назначения Фаррух Пулатов работал председателем акционерной компании «Уздонмахсулот». Ранее он также работал начальником Ферганского управления Департамента при Генпрокуратуре, трудился в органах прокуратуры в Ферганской и Наманганской областях.  Напомним , что бывший директор Агентства по кадастру Фазлиддин Умаров с недавних пор занимает пост хокима города Самарканда.",['Один наелся награбил теперь другой пришел']
Назначен новый заместитель хокима Ташкента,2,https://uznews.uz/posts/54509,В должности заместителя хокима Ташкента утвержден Абдулализ Исроилов. Об этом сообщает пресс-служба хокимията столицы. Абдулазиз Абдусаттарович Исроилов назначен заместителем хокима Ташкента – начальником Управления эксплуатации каналов и благоустройства прилегающих к ним территорий. До назначения он работал заместителем Генерального директора Центра управления государственными активами хокимията города.‌‌ ,"['В ташкентском хокимияте не нужен специалист, закончивший факультет заборостроения МГУ? Могу замом...', 'Отличное предложение']"
В руководстве ГТК произведены крупные кадровые назначения,5,https://uznews.uz/posts/54477," В руководстве Государственного таможенного комитета и региональных таможенных управлений произведен ряд назначений, сообщает пресс-служба ГТК.  Мухторов Ильхом Мухторович назначен первым заместителем председателя Государственного таможенного комитета.  Ибрагимов Отабек Исмаилович назначен заместителем председателя Государственного таможенного комитета. До назначения он занимал ответственную должность в Администрации президента.  Салиев Муталибджон Обиджанович , занимавший должность зампредседателя ГТК, возглавил Наманганское областное таможенное управление.  Ходжиматов Олимжон Хамиджанович назначен главой Ташкентского областного таможенного управления.  Казаков Ильхомбек Базарбаевич возглавил таможенное управление Республики Каракалпакстан.  Клычев Максудбек Рахимберганович назначен главой Хорезмского областного таможенного управления.  Муратов Бахтиер Шавкатович возглавил Андижанское областное таможенное управление. До назначения он работал первым заместителем главы Ташкентского городского таможенного управления. Насиров Гайрат Фархадович назначен начальником специализированного таможенного комплекса «Ташкент-АЭРО».  Также в соответствии с приказом председателя ГТК был назначен ряд заместителей начальников региональных таможенных управлений.","['Молодцы', 'знаю они хороших людей', 'Я знаю двоих. Они хорошие соттрудники', 'желаю удачи', 'Янги тайинланган кадрларга омад тилаб қоламиз!']"
В Джизаке назначены новый прокурор и глава ОВД,3,https://uznews.uz/posts/54465," Маматов Музаффар Маматович назначен прокурором города Джизака. До этого назначения он работал прокурором г.Алмалыка Ташкентской области. Начальником ОВД Джизака стал Аскаров Уктам Бахромович . Ранее он работал начальником УКД ОВД Шараф-Рашидовского района. Бывший начальник городского ОВД Муратов Акмал Боходирович занял должность начальника ОВД Шараф-Рашидовского района. Подполковник Нурматов Исроилжон Ибраимжонович назначен начальником УКД ОВД Галляаральского района. Ранее он занимал должность начальника УКД ОВД Дустликского района. В свою очередь, начальником УКД ОВД Дустликского района был назначен бывший начальник УКД ОВД Галляаральского района подполковник Наимов Бекзод Акрам угли.","['С переменой мест слагаемого сумма не меняется', 'Плановое перемешение воровской номенклатуры из одного хлева в другой.', 'Чой-та я стал составлять предложения по бухарскому стилю.']"
Назначен новый председатель Торгово-промышленной палаты,5,https://uznews.uz/posts/54446,"В пятницу состоялся внеочередной съезд Торгово-промышленной палаты Узбекистана, в котором приняли участие делегаты, государственные деятели, руководители министерств, ведомств и организаций. На съезде делегаты и участники единогласно одобрили выдвинутую президентом кандидатуру Вахобова Даврона Абдужалоловича на должность председателя Торгово-промышленной палаты. До назначения Даврон Вахобов занимал должность первого заместителя председателя Ассоциации текстильной промышленности «Узтекстильпром». ","['А что он палцем на взятки не тычет?', 'Икрамова теперь куда?', 'Ах да, забыл, он же министр спорта', 'Пытался прочитать перевод узбекского текста яндексом, по ссылке, но стало ясно, что автор писал на ташкентском диалекте узбекского языка, который яндексу неведом. Давно пытаюсь понять откуда такой диалект, хотя говорят на  нем представители элитарных слоев ташкентского населения, т.е. это наши демократы, разговаривают на языке ташкентской национальности Узбекистана.', 'Хорошего воровства, ой хорошей торговли тоесть']"
Сменился заместитель министра культуры,5,https://uznews.uz/posts/54427," Муроджон Маджидов назначен заместителем министра культуры, сообщает Telegram-канал «Нигох», близкий к Администрации президента. Ранее Муроджон Маджидов занимал ответственную должность в Кабинете министров. На этом посту он сменил Олимжона Мирзаева, который был освобожден от занимаемой должности в связи с переходом на другую работу. ","['Нам давно нужен был заменитель культуры в виде министра!', 'Перед тем, как стать хокимами, перспективные наши люди, должны пройти учебку культуриста в Министерстве культуры. Наша национальная культура Ташкента, впереди планеты всей.', 'а вы друзья как не садитесь, всё в музыканты не годитесь', 'Почему зам. не баба...пардон, не женщина?']"
В Мирзо-Улугбекском районе столицы назначен новый прокурор,1,https://uznews.uz/posts/54298," Алиакбар Пулатов назначен на должность прокурора Мирзо-Улугбекского района. Об этом сообщает пресс-служба хокимията Мирзо-Улугбекского района столицы. Сообщается, что до назначения Алиакбар Пулатов занимал должность заместителя прокурора города Ташкента. ",['Повышение...понижение?']
Назначен начальник УКД ОВД Учтепинского района столицы,5,https://uznews.uz/posts/54115,"Приказом министра внутренних дел полковник Дилмурод Мирсадиков назначен на должность начальника УКД ОВД по Учтепинскому району города Ташкента. Об этом сообщает пресс-служба МВД. До назначения Д.Мирсадиков работал на должности заместителя начальника ГУВД города Ташкента-начальника следственного управления при ГУВД.  Напомним , что предыдущий глава УКД ОВД Учтепинского района полковник Абдуразаков Абдувосит Абдулхаевич назначен заместителем начальника главного управления внутренних дел Ташкента — начальником Следственного управления при ГУВД.","['Перевалочный пункт?!\nРяды органов внутренних дел совсем обмолодел, серьезных людей не осталось', 'Сначала я сверху, а потом ты снизу', 'Ничего непонятно, они местами поменялись что ли? А какой смысл? Или кого-то из них наказали?', 'Главное, чтобы он не забывал, кто ему эту должность ""подарил"".)', 'Интересно а он умеет разбирать и собирать автомат?']"
