title,num_comments,link,text,comments,toxicity,fem,masc
"Вынесен приговор мужчине, разместившему на LED-экране видео для взрослых",0,https://uznews.uz/posts/54619," Ранее мы писали , что 31 марта, примерно в 19:20, на перекрестке улиц Аль-Хорезми и Хонка в Ургенче на большом мониторе показали видео порнографического характера. Ургенчский городской суд по уголовным делам рассмотрел административное дело в отношении 44-летнего сотрудника частной компании, занимающейся размещением рекламы на уличных мониторах.  Сообщается, что в тот день гражданин разместил 20 рекламных роликов, среди которых по неосторожности оказался и фильм для взрослых. Суд признал мужчину виновным по статье 189 (Изготовление, ввоз, распространение, рекламирование, демонстрация порнографической продукции) Кодекса об административной ответственности. Ему назначено наказание в виде штрафа в размере 50 БРВ – 13,5 млн сумов. Кроме того, у нарушителя конфисковали телефон и аппаратуру беспроводного доступа в интернет, которые использовались при загрузке порноролика.",[],"[0.0, 0.0]",0,4
В ГНК своих должностей лишились 13 начальников,0,https://uznews.uz/posts/54615,"Заседание коллегии Государственного налогового комитета, в котором по видео-связи приняли участие все работники системы, прошло в критическом духе. Об этом сообщает пресс-служба ГНК. В ходе собрания были проанализированы показатели деятельности налоговых органов по итогам I квартала текущего года и обсуждены вопросы обеспечения выполнения задач, обозначенных президентом. Отмечается, что несмотря на снижение в этом году налоговых ставок у некоторых крупных налогоплательщиков, рост поступлений в бюджет по сравнению с аналогичным периодом прошлого года составил 17%, что выше обобщенного макроэкономического показателя (ВВП); В регионах, ответственных за налоговое администрирование других субъектов предпринимательства, помимо крупных налогоплательщиков, рост поступлений в среднем составил 37%; Кроме этого, по индикаторам налогового администрирования рост поступлений по НДС составил 27%, в регионах - в среднем 60%; Объём поступлений по налогу с оборота увеличился в 1,3 раза, самый высокий прирост - в Фергане 67% и в Хорезме 48%. Было подчёркнуто, что такой значительный рост обусловлен устойчивым развитием экономики и решительными действиями по цифровизации налогового администрирования. Наряду с анализом достигнутых результатов, в ходе совещания подверглись критике допущенные ошибки, имеющиеся недостатки и проблемы. В частности, за допущенные ошибки и недочёты при выполнении поставленных задач по обеспечению налогового администрирования, привлечению дополнительных доходов за счет расширения налоговой базы: Применены дисциплинарные взыскания к руководителям Межрегиональной государственной налоговой инспекции по крупным налогоплательщикам, Государственных налоговых управлений (ГНУ) Кашкадарьинской и Ташкентской областей, Государственных налоговых инспекций (ГНИ) города Кагана и Андижана. Освобождены от занимаемой должности начальники ГНИ Андижанского, Алатского, Зааминского, Пахтакорского, Фаришского, Учкурганского, Кушрабатского, Ургутского, Джаркурганского, Термезского, Сырдарьинского и Гулистанского районов и города Янгиера. Также за допущенные ошибки и недостатки при принудительном взыскании налоговой задолженности освобождены от занимаемой должности начальники отделов ГНИ Асакинского, Чиракчинского, Мингбулакского, Ургутского, Мирзаабадского, Сардобинского, Багдадского, Кумкурганского районов и города Джизака. За серьезные ошибки и недостатки при рассмотрении жалоб в сфере торговли и оказания услуг, поступивших через систему «Налоговый партнер», и осуществлении мероприятий контроля в этом направлении также освобождены от занимаемой должности начальники отделов выездных налоговых проверок ГНИ Нукуса, Джизака и Андижана, Гиждуванского, Чиракчинского, Карманинского, Папского, Ургутского и Бекабадского районов. Во время заседания также было принято решение о материальном стимулировании сотрудников ГНУ и 64 ГНИ, добившихся высоких результатов. ",[],"[0.0, 0.0]",0,1
Воспитатель частного детсада Самарканда нанесла увечья 3-летнему воспитаннику,6,https://uznews.uz/posts/54612,"Ранее в соцсетях распространилась информация о том, что в одном из частных детсадов Самарканда воспитатель нанесла телесные повреждения воспитаннику. В МДО сообщили , что по данному факту проведено расследование. Сообщается, что частная дошкольная образовательная организация Baby Land (Kids academy), расположенная на территории махалли «Бухорий» Самаркандского района, функционирует на основании лицензии (№МТ 1248), выданной Государственной инспекцией по контролю качества образования при КабМине в марте 2020 года. По результатам предварительного изучения, выяснилось, что 24 марта  воспитатель младшей группы И.Д. нанесла 3-летнему ребёнку телесные повреждения. Мать потерпевшего обратилась с заявлением в правоохранительные органы. Предприниматель расторг договор с воспитателем И.Д. В Министерстве дошкольного образования отметили, что в таких случаях ведомство ставит вопрос об аннулировании лицензии частного детсада, поскольку предприниматели должны приглашать на работу специалистов с опытом работы и, конечно же, на основании справок о психическом состоянии их здоровья. В настоящее время по данному факту проводится дознание. ","['На кол её суку,или сначало избить,желательно ногами,тварина', 'А если её ребёнка кто ни будь так же издил что бы она делала!!!', 'нармална, люди за свои же деньги водят свою детвору на избиение. в моём кроваво совковом детстве меня в гос детсаду могли угостить поджопником разве что за процесс дефикации в общую кастрюлю с вкусным борщем. в иных случаях дело ограничивалось поставкой в угол.', 'Ты до сих пор в еду срешь? Ну ты Петрушка совсем того…с детства оказывается ещё', 'а ты всё полыхаешь и полыхаешь.', 'Когда у нас в садике было такое я позвонила в МДО.Они даже не поинтересовались какой садик.У нас тоже воспитатель завязывала руки детям и запирала в туалете.Била их.Но всем наплевать.Директор быстро уволила ее по ее желанию.']","[0.2619296, 0.7380704]",1,2
В Ташкенте в период месяца Рамадан будет закрыт ряд улиц,9,https://uznews.uz/posts/54611,"В связи с проведением вечерних молитв в период священного месяца Рамадан ежедневно на время с 18:00 до 24:00 часов следующие дороги возле мечетей будут закрыты для движения транспортных средств: • Мечеть Куддус Шариф: от улицы Янги Сергели по улице Кипчак до участка улицы Нилуфар; • Мечеть Мирза Юсуф: от улицы Богишамол по улице Чингиза Айтматова до части 2-проезда Кози тарнов; • Мечеть Шайх Зайниддин: от улицы Бешкайрагач по улице Кукча дарвоза до участка улицы Нурафшон; • Мечеть Новза: от улицы Мукими по улице Бунёдкор до участка улицы Сеул; • Мечеть Ислом ота: от улицы 5-проезд Фаргона йули по улице Фаргона йули до участка улицы Олот; • Мечеть Юнусобод Октепа: от проспекта Амира Темура по улице Чинобод до участка улицы Дарвоза кент; • Мечеть Фотимаи Захро: от улицы Нурафшан по улице Октепа Мажлисий, до участка улицы Катта Октепа; • Мечеть Бута бува: от улицы Бунёдкор по улице Бешкурган до участка улицы 4-проезд Бешкурган; • Мечеть Яккасарой: от улицы Шоты Руставели по улице Яккасарай до участка улицы Богибустон; • Мечеть Усмон Бин махзун: от улицы Кушбеги по МКАД до участка улицы Чупонота. В зависимости от ситуации возможно временное закрытие других улиц, прилегающих к мечетям. ","['Согласен с Азаматом Тулановым, касательно показухи.', 'Всем не угодить . Почему вы не возникает когда 31 декабря закрывают улиц интересно', 'Почему нельзя в мечеть прийти пешком? Зачем перекрывать дороги , люди не могут домой попасть , в том числе и я , я же не буду машину оставлять за 2 км от дома , непонятно где... я не против этого всего , но такое ощущение что это всё на показуху,  раньше все кто хотел , и придерживался религии , дома молились . Я сам дома молюсь , зачем толпится около мечети,  устраивать пробки для других , учитывая нынешнюю пандемию лучше не находиться в местах где очень много народу .', 'Таровехди уйда укиганмисиз олдин?', 'Даже в таких, святых делах ВСЁ  через пятую точку делается! Узбекистан-это диагноз!']","[0.42167586, 0.57832414]",0,1
В Узбекистане планируют отменить практику доставления нарушителей порядка в ОВД,2,https://uznews.uz/posts/54605,"Согласно проекту , с 1 января 2023 года в правоохранительных органах предлагается поэтапно внедрить систему «Электронный патруль». В частности, система предусматривает отмену практики доставления гражданина, совершившего правонарушение, в подразделения внутренних дел для установления личности и осуществления досмотра. При этом, информация о происшествии будет проверяться на месте с помощью планшета, а деятельность сотрудников ППС будет осуществляться с помощью бодикамер. Проектом постановления также предлагается утвердить положение о порядке проведения сотрудниками подразделений патрульно-постовой службы электронной идентификации граждан, подозреваемых в совершении правонарушений в общественных местах. ","['Ну и правильно! Зачем дебошира везти ОВД и составлять протокол на 15 суток. Отх€рачить его там-же, где задержали - урок на всю жизнь.', 'Молодцы, хороший этап на развитии правоохранительных органов']","[0.6483989, 0.3516011]",0,1
"Определены суммы закята, фитр-садака и фидья-садака на 2022 год",5,https://uznews.uz/posts/54598,"Согласно фетве, сумма закята, исходя из рыночной цены на золото в 400 тыс. сумов за 1 грамм, составляет 850 000 сумов, что является 1/40 от 85 г золота (минимальный размер дохода, начиная от которого уплачивается закят) в сумме 34 000 000 сумов. Об этом сообщили в Управлении мусульман.  «Мусульманин, имеющий доход 34 000 000 сумов в год и более, в дополнение к своим основным расходам, обязан отдавать 1/40 своих средств в качестве закята бедным и нуждающимся», — говорится в сообщении. Сумма фитр-садака определена с учетом средней цены следующих продуктов: • 2 кг пшеницы (10 тыс. сумов); • 4 кг ячменя (16 тыс. сумов); • 2 кг изюма (100 тыс. сумов); • 4 кг фиников (160 тыс. сумов). Каждый по мере своих возможностей может подавать фитр-садака по стоимости пшеницы, ячменя, изюма или фиников. Сумма, выплачиваемая как фидья-садака, то есть «однодневное питание для неимущих», установлена в этом году в размере 25 тысяч сумов. Общая сумма фидья-садака за месяц составляет 750 тысяч сумов. Фидья-садака — милостыня, выплачиваемая за дни поста, пропущенные в священный месяц Рамадан. Фитр-садака — это дарение нуждающимся своего имущества в праздничный день.","['У меня доход 500тыс пенсии на 12 месяцев = 6000000сум = 6млн. в год. У меня в кармане всегда есть купюры по тысяче, из которых тысяч три - пять уходит ежедневно, обнищавшим людям, таких, самых разных, на пешеходном маршруте вокруг десяти километров, встречаются ежедневно. Потому что им, голодным, по вине шайтанов-миллиардеров, - воров и мошенников, кушать хочется. Читайте Коран, Сура 50 Каф, Аят 16, в части круглосуточного наличия Аллаха в каждом, ближе его яремной(шейной) вены.', 'Гугл в помощь.', 'любая бизнес хараша', 'Даже в религии коррупция) вот дурачьё', 'А что бывают расценки и на это? Я только узнал']","[0.56547695, 0.4345231]",0,0
Минздрав опроверг информацию о снятии запрета на ношение религиозной одежды,7,https://uznews.uz/posts/54586,"В Министерстве здравоохранения прокомментировали сообщение о снятии в Узбекистане запрета на ношение медиками хиджаба и другой религиозной одежды, которое распространил депутат Законодательной палаты Олий Мажлиса Расул Кушербаев. Начальник управления науки и образования Министерства здравоохранения Уктам Исмаилов отметил, что защита и укрепление здоровья человека является важнейшей задачей медицинской системы, и люди этой сферы должны быть примером для всех. 24 марта издан приказ министра здравоохранения «Об утверждении Кодекса этики». Согласно этому документу, виды верхней одежды халат или медицинская спецодежда должны состоять из костюма или халата классической формы белого цвета (другой цвет спецодежды между отделениями должен быть утвержден внутренним распорядком), легко и быстро очищаемого, удобного в носке, не обтягивающего, без каких-либо украшений, привлекающих внимание. Также в пункте 3.1.6 прописано, что женщины - медицинские работники и студенты должны носить белый халат и соответствующий ему специальный головной убор. При этом халат должен быть ниже колен, с длинными рукавами (в зависимости от сезона), в классическом стиле, без зарубежных и различных фирменных ярлыков. ","['Давно знаю, как в наморднике маске скапливаются и постоянно мутируют все те вирусы, которыми дышит каждый, особенно в лечебном учреждении. Ну не через маску же дышит каждый... через край маски, это давно понятно десяткам миллионов нас. А когда после прививки, падает иммунитет, вся эта зараза радостно начинает питаться каждым. Для геноцида шайтанов медицины, останется только залечить жертву и отчитаться...', 'Doktor Web 911!!!!\nХаляльный мужик-гинеколог !!!!\nЭто сила!', 'Халяльный мужик-гинеколог должен обязательно быть в чапане и на голове тюбетейка.', 'Что ты за чушь несёшь, не имеешь знаний сиди помолкивай(чапан и тюбитейка это не религиозное одияние, это традиционное одияние)', 'Может ещё осмотр проводить с закрытыми глазами и не прикасаясь руками 😂??И желательно вообще находясь за ширмой или вообще в соседней комнате', 'Сканфадр одень депутат и сиди грейся в Олий мажлисе. Сидят дармаеды там,заняться нечем,всякую ерунду выдумывают', 'правильно']","[0.49904054, 0.50095946]",0,1
В Ташкенте из-за марафона временно перекроют ряд дорог,0,https://uznews.uz/posts/54592,"По данным пресс-службы столичного хокимията, 2 апреля в Алмазарском районе столицы состоится массовый забег на 5300 метров под девизом «Стойкость и мужество предков – пример для поколений!». Марафон стартует в 9:00 от Ташкентской медицинской академии и финиширует в 11:00 около Ташкентского Государственного Технического Университета.  На время проведения марафона будут перекрыты следующие дороги: — от улицы Х. Азимова до улицы Шифокорлар 1, 2, 3; — от улицы Шифокорлар 1, 2, 3 до улицы Мирзо Голиба; — от улицы Мирзо Голиба до улицы Мухбир; — от улицы Мухбир до улицы Университетской. В столичной администрации принесли извинения за причиненные неудобства. ",[],"[0.0, 0.0]",0,0
"Мужчина, разместивший на рекламном мониторе видео для взрослых, публично извинился — видео",9,https://uznews.uz/posts/54584,"Ранее мы писали , что в Ургенче на рекламном мониторе показали порнографическое видео. В пресс-службе УВД Хорезмской области сообщили , что порнографическое видео на большом мониторе 31 марта, примерно в 19:20, на перекрёстке улиц Аль-Хорезми и Хонка в Ургенче, по неосторожности разместил 42-летний сотрудник частной компании, которой принадлежит рекламный монитор. Сообщается, что в процессе размещения рекламного ролика он загружается в память монитора, так из-за неосторожности вместо рекламы загрузилось порнографическое видео. Сотрудник, отвечающий за размещение рекламы на мониторе, сообщил , что 31 марта, примерно в 19:00, он загрузил 20 роликов, среди которых по ошибке оказался и фильм для взрослых. Публично извиняясь, он отметил, что не знал, что вместо рекламы уличный монитор покажет порно. В настоящее время органами внутренних дел проводится доследственная проверка. ","['Невинного взяли. Видео - то я снимал....', 'Если не он сам, а это скорее всего, ну не идиот же он, то искать шутника нужно среди людей имеющих доступ к компу этого парня. Ведь кто то переименовал файл и подсунул в каталог с рекламными роликами. А вообще я думал что загрузка для рекламных панно делается по сети.', 'Вспомнилась история про узбекских туристок (среди которых жены высокопоставленных чинов) отдыхавших в Турции то ли в конце 80-х то ли в начале 90-х, вообщем история из эпохи конца СССР. На обратном пути им подарили видеомагнитофоны с видеокассетами. Когда дома в кругу гостей вместе с куда-анда просматривали турецкие красоты вдруг появилось жёсткое порно! Вот тогда была умора читать такую инфу, кажется, в ""Собеседнике"":)', 'Ну что поделать,все мы грешные ,и к тому кто мы такие чтобы не прощать ,если Сам Всевышний прощает нам наши грехи .Ровно через сутки Рамадан , Великий пост Ин Ща Аллах,будет ему о чем задуматься и исправится посредством этого поста .Ramadan Karim ,Sabr', 'Экскримент Дятлова к чему-то Рамадан приплёл...', 'Залётный ДЯДЯ -Эксперимент а сам про Рамадан ??!! с Подробно Уз приплёлся', 'Скучно и примитивно! И это 2022 год! Зашквар полный! Тошнит, от тупости некоторых несознательных элементов.', 'Щенок не тебе базарить за это', '😂😂😂 смертник, и дурачок просто']","[0.3214884, 0.6785116]",0,4
На рекламном мониторе в Ургенче показали видео для взрослых,10,https://uznews.uz/posts/54578," В соцсетях распространилось видео, на котором можно увидеть рекламный LED-монитор, на котором транслировали порнографическое видео. Сообщается, что спустя несколько минут монитор, расположенный на одной из улиц Ургенча, отключили. Об этом сообщает пресс-служба хокимията Хорезмской области. В настоящее время правоохранительные органы выясняют причину, по которой на большом мониторе показали порнографическое видео.","['Извините , друзья. Случайно включил.', 'уят', 'судя по превьюхе прон местного - хорезмского производства.', 'ААХАХАХАХ думаю мечта всех людей исполнилось', 'Кто то подключился) а говорят запрещено) что есть то есть и это норма, сами себе придумали что это плохо, а что плохого там!? Инвалиды и импатенты только против секаса😆', 'Раз народ стоит и смотрит, значит реально на экране ""жара"")) И водителям на трассе веселее)', '+++😂😂😂', 'А главное ни у кого жалоб нет,все довольны😂']","[0.6788325, 0.32116753]",0,1
