title,num_comments,link,text,comments,toxicity,fem,masc
"Студентка СамГУ разбилась насмерть, спрыгнув с 9 этажа общежития",7,https://uznews.uz/posts/54542,"Трагедия произошла 29 марта, примерно в 02:00 ночи. Студентка 2 курса Самаркандского государственного университета спрыгнула с 9 этажа студенческого общежития. При этом в общежитии она проживала на 6 этаже. Об этом корреспонденту UzNews.uz сообщили в УВД Самаркандской области. Один из проректоров вуза сообщил, что 22-летняя студентка ни с кем из студентов и преподавателей не ссорилась. По данному факту проводится доследственная проверка. ","['не спрыгнула, а упала. если кто-то видел в 2 часа ночи, то спрыгнула.', 'Возможно сама спрыгнула, возможно ктото помог, не делайте поспешных выводов...', '...может и выбросили, как свидетельницу бардака там мужиков.', 'Да наверное хахаль с ней переспал в замен что женится на ней, и после кинул ее... разбитая любовь. и жизнь!!!', 'Да вы знаток, в таких новостях...', 'Узнюс не ставь такие статьи которые сложно комментировать без мата, если ставишь то коменты не бань. Правда глаза колит, перевари все коменты раз выпускаешь статьи.', 'Вот дура. Ну прыгнула и что? Всем то пофиг, а ты уже концы отдала. Нет не решаемых проблем, везде есть выход. Как говорится выхода нет толька из гроба. Малые вы все с ума посходили? Кто то себя убивает кто то кого то убивает. Живи раз тебе дана жизнь, проживи ее до конца и плюй на всех кто что говорит. Крутость не заключается в том что кого то убить побить или девок клеить и бросить, крутость в том что ты родился человеком и не станешь говном.']","[0.5434834, 0.45651665]",1,0
В Ташкенте устроили незаконный допрос и самосуд над несколькими гражданами — видео,15,https://uznews.uz/posts/54471,"Ранее в соцсетях распространились сообщения о том, что в Ташкенте группа мужчин устроила самосуд над молодыми людьми. В ГУВД Ташкента прокомментировали данный инцидент и сообщили , что один из случаев произошел 18 марта в Бектемирском районе. Двое молодых людей требовали у продавцов чеки, не получив их, отсканировали QR-код магазинов и отправили данные в информационную систему «Налоговый партнер». Аналогичный инцидент произошел и в Сергелийском районе столицы 20 марта. 25-летний гражданин требовал у продавцов магазинов чеки о покупке товара. После того, как ему не предоставили чеки, покупатель сообщил об этом в налоговую. После этого граждане устроили покупателю допрос, публично оскорбляя его. В настоящее время в отношении граждан составлены административные протоколы по статьям 41 (Оскорбление), 183 (Мелкое хулиганство) и 200 (Самоуправство) Кодекса об административной ответственности. ","['Эту ситуацию понимают только предприниматели ( в комментах 90 % люди не поняли что на самом деле случилось) за что устроили самосуд.... (Очень очень не легко сейчас ПРЕДПРИНИМАТЕЛЯМ ) если будет продолжаться в том же духе, точно не будет осмон мусаффо', 'Это не правда они не требовали чек, пока продавец выбивает чек они быстро уходят , покупают минераль, воды 0.5 стоимости 1500 сум недожидая чека быстро уходят.Они не требуют чеки , они быстрее сваливают. Они сделали себе такую профессию....Козлят предпринимателей и берут свои комиссии за это. А предприниматели просто попадают на крупный штраф.', 'Неужели вот такие случаи не предусмотрены? Ведь может каждый догадаться, что ""систему"" можно ""обмануть"".', 'Все правильно чек выдать обязаны и всё', 'Открытая борьба Наших культур двух властей, законной и незаконной. Посмотрим, кто кого. Зачем понятно.', 'Уголовное дело нужно возбуждать', 'Узнюс если вы не в курсе то с¥ка это литератуное слово. И комментарии банить не надо. Если поджилки трясутся то вообще уоменты под статью закройте', 'Там достаточно грамотный юнец или седой маразматик, весь ньюс заср*л. Подл*ец чем грамотнее, тем хуже.', 'Осталось к столбам позора привязывать как у хохлов. :)))', 'Кто-то на Узньюс уже предлагал подобный метод воспитания. И никаких штрафов не надо будет выписывать.', 'Наверное, принимаемые решения для внедрения не должны создавать почву для дополнительного заработка для предприимчивых', 'Ты чё куришь? Вообще не о чем.', 'Посмотрим, какие действия будут со стороны властей...', 'Максимум хулиганство…']","[0.686607, 0.31339294]",0,1
В Джизаке перевернулась Nexia с пассажирами: есть погибший,0,https://uznews.uz/posts/54469,"Дорожно-транспортное происшествие произошло на 997-м километре дороги М-39, проходящей через махаллю «Хайрабад» Шараф-Рашидовского района. Автомобиль с тремя гражданами в салоне вылетел на обочину, после чего перевернулся. Как сообщает пресс-служба УВД Джизакской области, водитель, уроженец Самаркандской области, потерял управление над автомобилем. Один из его пассажиров скончался на месте происшествия, еще одного госпитализировали с закрытым переломом челюсти. По данному факту возбуждено уголовное дело. Ведется следствие.  ",[],"[0.0, 0.0]",0,1
"В центре Ташкента водитель Spark, проигнорировав сигнал светофора, спровоцировал смертельное ДТП",7,https://uznews.uz/posts/54417,"По данным пресс-службы столичного ГУВД, 23 марта, в 15:16 часов, на пересечении улиц Тараса Шевченко и Фидокор в Мирабадском районе Ташкента произошло столкновение трёх автомобилей. Согласно предварительным данным, водитель Spark С.З., 1997 г.р., проигнорировал запрещающий сигнал светофора, после чего столкнулся с автомобилем Malibu и врезался в дерево на обочине дороги. В результате удара автомобиль Malibu вылетел на встречную полосу дороги, что привело к столкновению с Cobalt. В результате ДТП водитель автомобиля Spark и его пассажир, 1998 г.р., получили телесные повреждения различной степени тяжести и были госпитализированы. Еще одна пассажирка, 1980 г.р., была госпитализирована, однако, несмотря на усилия медперсонала, скончалась от полученных травм, несовместимых с жизнью. По данному факту Следственным управлением ГУВД Ташкента возбуждено дело в соответствии с частью 2 статьи 266 УК РУз (Нарушение правил безопасности движения или эксплуатации транспортных средств, повлекшее смерть человека), ведётся следствие. ","['Spark margayushiga kirib kegan. Malibu tez kevotgan bogan.', 'Из за таких уродов,люди погибают.', 'ОСАГО ему явно не хватит на ремонт Малибу И Кобальт. Такие только язык денег понимают. Плюс уголовное дело. Пассажирку жалко. Соболезнования родным и близким.', 'Разве это водитель, игнорит светофор.\nДебил, проблемы людям создал.', 'Ой животное, таких сразу сажать, чтобы другим не было повадно. Самый шустрый зверёк в Узбекистане, это водитель спарка и джентры', 'Смертельный исход, сядет как миленький.']","[0.35395515, 0.6460448]",0,1
"17-летняя школьница, выступавшая на мероприятии в честь Навруза, погибла — видео",6,https://uznews.uz/posts/54413,"В соцсетях распространилось видео о том, как во время праздничного выступления в Кашкадарье одна из выступающих потеряла сознание, а после скончалась. Руководитель пресс-службы Министерства народного образования Лайло Рустамова сообщила корреспонденту UzNews.uz детали произошедшего. Инцидент произошел 19 марта в общеобразовательной школе №33 Миришкорского района. Во время танцевального номера старшеклассница упала в обморок. По предварительным данным, 17-летняя девушка с детства страдала эпилепсией. Сообщается, что администрация школы оперативно вызвала экстренную медпомощь, однако пострадавшей она уже не понадобилась. Школьница скончалась. В настоящее время по данному факту проводится доследственная проверка. ","['По моим личным данным, человека самостоятельно спасшегося от медицинских недоумков, у девочки была глубокая анемия, как и у всех остальных детей там. Таких не кормят мясом, потому что миллиардеры, - воры и мошенники задрали цены на мясо, им пофиг недоедание людей, про детей в этом помолчу, пусть каждый вспомнит самые матерные слова, на которые способен.', 'Школа должна была знать что у неё есть такая болезнь и школа не должна была допускать к таким выступлениям тем более в непогоду, эхх дебилы вокруг везде', 'Нелепая смерть, очень жалко бедную девочку, соболезную родителям.', 'От холода судороги  так могут скрутить грудные мышцы, что ни вздохнуть, ни выдохнуть. По недосмотру взрослых погибла девчонка...', 'В смысле ""погибла""? Посмотрите значение этого слова в словаре для начала.', 'соболезнования  семье девочки']","[0.80792713, 0.19207287]",1,0
Четверо человек погибли в результате столкновения Lacetti и Nexia-3,4,https://uznews.uz/posts/54385,"19 марта, примерно в 8 часов утра, на территории села Женов Миришкорского района Кашкадарьинской области водитель Lacetti потерял управление и столкнулся с Nexia-3, после чего оба автомобиля съехали с проезжей части и врезались в деревья у обочины дороги. Об этом сообщает пресс-служба регионального УВД. В результате ДТП четверо пассажиров Lacetti скончались на месте происшествия, получив телесные повреждения, несовместимые с жизнью. Один из пассажиров Nexia-3 и водитель Lacetti были госпитализированы с травмами различной степени тяжести. По данному факту возбуждено уголовное дело по п. «а» ч.3 статьи 266 УК РУз (Нарушение правил безопасности движения или эксплуатации транспортных средств, повлекшее человеческие жертвы), ведется следствие. ","['А третья партия будет без рулевого колеса?', 'Пока бараны за рулём пока не начнут делать машины все будет именно так . Сами виноваты умирайте побольше', 'А где мотор?', 'Это вторая партия поставок, первая без магнитофона, вторая без мотора.']","[0.75093234, 0.24906765]",0,1
Шавкат Мирзиёев выразил соболезнования Си Цзиньпину в связи с крушением самолета,1,https://uznews.uz/posts/54379," Президент Шавкат Мирзиёев выразил соболезнования Председателю КНР Си Цзиньпину в связи с крушением пассажирского самолета недалеко от города Учжоу в Гуанси-Чжуанском автономном районе Китая. Об этом сообщила пресс-служба главы Узбекистана. Согласно данным Управления гражданской авиации Китая, Boeing 737 авиакомпании China Eastern Airlines, совершавший рейс из Куньмина в Гуанчжоу в понедельник, потерпел крушение. На борту находилось 132 человека, в том числе 123 пассажира и 9 членов экипажа. Самолет упал в горной местности в уезде Тэн в городском округе Учжоу Гуанси-Чжуанского автономного района. В результате катастрофы в горах вспыхнул пожар. Сведений о погибших и пострадавших пока нет. На месте происшествия работают более 600 спасателей.",['Как хрупка жизнь !'],"[0.9882378, 0.011762197]",0,0
В день Навруза 5 человек погибли в результате отравления неизвестным веществом,0,https://uznews.uz/posts/54377," По данным МЧС Узбекистана, 21 марта этого года в одном из домов в городе Коканде скончались 5 человек. «Для установления причины смерти погибших назначена судебно-медицинская экспертиза. Дополнительная информация будет предоставлена ​​после получения результатов экспертизы», – говорится в сообщении. По предварительным данным, граждане погибли от отравления угарным газом.",[],"[0.0, 0.0]",0,1
На электроподстанции в Ташкенте вспыхнул крупный пожар — видео,5,https://uznews.uz/posts/54374," Сегодня, 21 марта, в 16:44 часов в дежурную часть УЧС города Ташкента поступило сообщение о пожаре на электрической подстанции, расположенной по ул. Эльбек в Яшнабадском районе столицы, говорится в сообщении ведомства. «На место пожара выдвинулись пожарно-спасательные расчёты МЧС. По приезду выяснилось что загорелся трансформатор, мощностью 16 тыс. к.ВА. Возгорание было ликвидировано в 17:09 часов», – отметили в МЧС.","['Толи ещё будет, это результат халатного отношения мин.энерго, и дифицит квалифицированных энергетиков.', 'Как говорил первый Президент Узбекистана И.А.Каримов - "" Мозги уехали, а зубы остались"". Этим все сказано..', 'В 2010 так-же горел трансформатор в р-не Капотня в Москве. Тогдашний мэр столицы Лужков обвинил Чубайса, что тот только на бумаге проводит реформы в энергетике, а инвестиции прикарманивает.', 'Масло горит, датчики уже надо ставить) электрики 😆', 'Чёт яшнабадский район начал гореть часто в последнее время']","[0.9789127, 0.021087252]",0,0
В Ташкенте произошел крупный пожар на складе моторных масел — видео,2,https://uznews.uz/posts/54347,"18 марта в 20:45 часов в городское УЧС поступил звонок о пожаре на складе моторного масла, расположенном на территории СП Orient Logistics Center в Яшнабадском районе Ташкента. На место происшествия прибыли 10 пожарно-спасательных расчетов, 3 специальные и 2 вспомогательные единицы техники. В 21:49 пожар был локализован, в 03:30 часов 19 марта – полностью потушен. В результате пожара было повреждено около 2000 квадратных метров складских помещений. Жертв и пострадавших нет. Причина возгорания и размер ущерба устанавливаются. ","['Это калибр точняк. вместо харькова из каспия по ташкенту залупили.', 'Со страхователем сговорились ?']","[0.9863361, 0.013663908]",0,0
